"","state_abb","state","gender","age","population"
"288","NC","North Carolina","female","18 - 24",471938
"289","ND","North Dakota","female","18 - 24",42281
"290","OH","Ohio","female","18 - 24",539659
"291","OK","Oklahoma","female","18 - 24",188182
"292","OR","Oregon","female","18 - 24",178596
"293","PA","Pennsylvania","female","18 - 24",604441
"294","PR","Puerto Rico","female","18 - 24",176139
"295","CA","California","female","18 - 24",1912648
"296","RI","Rhode Island","female","18 - 24",58793
"297","SC","South Carolina","female","18 - 24",232992
"298","SD","South Dakota","female","18 - 24",40734
"299","TN","Tennessee","female","18 - 24",309618
"300","TX","Texas","female","18 - 24",1324512
"301","UT","Utah","female","18 - 24",165545
"302","VT","Vermont","female","18 - 24",32668
"303","VA","Virginia","female","18 - 24",399102
"304","WA","Washington","female","18 - 24",319048
"305","WV","West Virginia","female","18 - 24",82199
"306","CO","Colorado","female","18 - 24",249948
"307","WI","Wisconsin","female","18 - 24",275300
"308","WY","Wyoming","female","18 - 24",26813
"309","CT","Connecticut","female","18 - 24",168574
"310","DC","District of Columbia","female","18 - 24",44052
"311","DE","Delaware","female","18 - 24",44629
"312","FL","Florida","female","18 - 24",863304
"313","AL","Alabama","female","25 - 34",318401
"314","AK","Alaska","female","25 - 34",54561
"315","GA","Georgia","female","25 - 34",698151
"316","HI","Hawaii","female","25 - 34",97328
"317","ID","Idaho","female","25 - 34",105603
"318","IL","Illinois","female","25 - 34",884049
"319","IN","Indiana","female","25 - 34",421491
"320","IA","Iowa","female","25 - 34",190976
"321","KS","Kansas","female","25 - 34",188266
"322","KY","Kentucky","female","25 - 34",281533
"323","LA","Louisiana","female","25 - 34",334105
"324","ME","Maine","female","25 - 34",76810
"325","AZ","Arizona","female","25 - 34",435946
"326","MD","Maryland","female","25 - 34",414759
"327","MA","Massachusetts","female","25 - 34",465504
"328","MI","Michigan","female","25 - 34",600545
"329","MN","Minnesota","female","25 - 34",366540
"330","MS","Mississippi","female","25 - 34",197263
"331","MO","Missouri","female","25 - 34",400138
"332","MT","Montana","female","25 - 34",62405
"333","NE","Nebraska","female","25 - 34",123225
"334","NV","Nevada","female","25 - 34",199872
"335","NH","New Hampshire","female","25 - 34",75602
"336","AR","Arkansas","female","25 - 34",192734
"337","NJ","New Jersey","female","25 - 34",568465
"338","NM","New Mexico","female","25 - 34",134790
"339","NY","New York","female","25 - 34",1423137
"340","NC","North Carolina","female","25 - 34",656605
"341","ND","North Dakota","female","25 - 34",49351
"342","OH","Ohio","female","25 - 34",732540
"343","OK","Oklahoma","female","25 - 34",262322
"344","OR","Oregon","female","25 - 34",271217
"345","PA","Pennsylvania","female","25 - 34",806846
"346","PR","Puerto Rico","female","25 - 34",228671
"347","CA","California","female","25 - 34",2776078
"348","RI","Rhode Island","female","25 - 34",68195
"349","SC","South Carolina","female","25 - 34",316529
"350","SD","South Dakota","female","25 - 34",53706
"351","TN","Tennessee","female","25 - 34",434840
"352","TX","Texas","female","25 - 34",1931029
"353","UT","Utah","female","25 - 34",217182
"354","VT","Vermont","female","25 - 34",35680
"355","VA","Virginia","female","25 - 34",573709
"356","WA","Washington","female","25 - 34",498420
"357","WV","West Virginia","female","25 - 34",107208
"358","CO","Colorado","female","25 - 34",385278
"359","WI","Wisconsin","female","25 - 34",357360
"360","WY","Wyoming","female","25 - 34",39122
"361","CT","Connecticut","female","25 - 34",217681
"362","DC","District of Columbia","female","25 - 34",79160
"363","DE","Delaware","female","25 - 34",61588
"364","FL","Florida","female","25 - 34",1254912
"365","AL","Alabama","female","35 - 44",310294
"366","AK","Alaska","female","35 - 44",44028
"367","GA","Georgia","female","35 - 44",708864
"368","HI","Hawaii","female","35 - 44",86766
"369","ID","Idaho","female","35 - 44",99044
"370","IL","Illinois","female","35 - 44",838202
"371","IN","Indiana","female","35 - 44",410997
"372","IA","Iowa","female","35 - 44",179993
"373","KS","Kansas","female","35 - 44",170382
"374","KY","Kentucky","female","35 - 44",279540
"375","LA","Louisiana","female","35 - 44",287689
"376","ME","Maine","female","35 - 44",79103
"377","AZ","Arizona","female","35 - 44",414008
"378","MD","Maryland","female","35 - 44",395507
"379","MA","Massachusetts","female","35 - 44",428559
"380","MI","Michigan","female","35 - 44",599541
"381","MN","Minnesota","female","35 - 44",331455
"382","MS","Mississippi","female","35 - 44",190564
"383","MO","Missouri","female","35 - 44",367617
"384","MT","Montana","female","35 - 44",57131
"385","NE","Nebraska","female","35 - 44",111359
"386","NV","Nevada","female","35 - 44",188682
"387","NH","New Hampshire","female","35 - 44",80177
"388","AR","Arkansas","female","35 - 44",184623
"389","NJ","New Jersey","female","35 - 44",592975
"390","NM","New Mexico","female","35 - 44",121965
"391","NY","New York","female","35 - 44",1275418
"392","NC","North Carolina","female","35 - 44",667714
"393","ND","North Dakota","female","35 - 44",38609
"394","OH","Ohio","female","35 - 44",707864
"395","OK","Oklahoma","female","35 - 44",234975
"396","OR","Oregon","female","35 - 44",255677
"397","PA","Pennsylvania","female","35 - 44",760642
