"","party","gender","age","race","education","urbanicity","married","vote2018","state","district","wave"
"98","Dem","Female","18 - 24","Hispanic","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-09"
"99","Rep","Male","35 - 44","Other","Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-09"
"100","Ind","Female","18 - 24","Hispanic","Bachelors","R1","Married","Republican candidate","CA","CA-21","2018-09"
"101","Dem","Male","25 - 34","White","Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"102","Dem","Female","18 - 24","Hispanic","No Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-09"
"103","Dem","Female","35 - 44","White","No Bachelors","R2","Married","Democratic candidate","CA","CA-21","2018-09"
"104","Dem","Female","25 - 34","Hispanic","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"105","Dem","Female","18 - 24","White","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-21","2018-09"
"106","Ind","Female","25 - 34","Hispanic","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"107","Rep","Female","25 - 34","White","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-09"
"108","Ind","Female","18 - 24","Hispanic","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"109","Dem","Female","45 - 54","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"110","Rep","Female","45 - 54","White","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-09"
"111","Rep","Male","25 - 34","Other","Bachelors","S3","Unmarried","Republican candidate","CA","CA-21","2018-09"
"112","Rep","Male","25 - 34","Hispanic","No Bachelors","R1","Married","Other candidate/not sure","CA","CA-21","2018-09"
"113","Rep","Female","35 - 44","White","No Bachelors","R2","Married","Republican candidate","CA","CA-21","2018-09"
"114","Dem","Female","25 - 34","White","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-09"
"115","Dem","Female","25 - 34","Hispanic","No Bachelors","R1","Married","Democratic candidate","CA","CA-21","2018-09"
"116","Rep","Female","25 - 34","Hispanic","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-09"
"117","Dem","Female","25 - 34","White","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-21","2018-09"
"118","Dem","Female","> 54","White","No Bachelors","R2","Married","Republican candidate","CA","CA-21","2018-09"
"119","Dem","Male","25 - 34","Hispanic","Bachelors","R1","Married","Democratic candidate","CA","CA-21","2018-09"
"120","Ind","Male","18 - 24","Hispanic","No Bachelors","R1","Married","Republican candidate","CA","CA-21","2018-09"
"121","Rep","Female","18 - 24","Hispanic","No Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-09"
"122","Rep","Female","25 - 34","White","No Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-09"
"123","Rep","Female","45 - 54","White","Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-09"
"124","Rep","Female","45 - 54","White","Bachelors","R2","Married","Republican candidate","CA","CA-21","2018-09"
"125","Rep","Female","35 - 44","Hispanic","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-09"
"126","Rep","Female","18 - 24","Hispanic","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-09"
"127","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-09"
"128","Rep","Female","35 - 44","White","Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"129","Rep","Male","35 - 44","White","Bachelors","S3","Married","Republican candidate","CA","CA-25","2018-09"
"130","Ind","Male","25 - 34","Other","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"131","Ind","Female","18 - 24","Hispanic","Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"132","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"133","Ind","Female","> 54","White","Bachelors","S4","Married","Other candidate/not sure","CA","CA-25","2018-09"
"134","Ind","Female","35 - 44","Hispanic","No Bachelors","S3","Married","Other candidate/not sure","CA","CA-25","2018-09"
"135","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"136","Dem","Female","18 - 24","White","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"137","Ind","Female","25 - 34","White","Bachelors","S4","Married","Other candidate/not sure","CA","CA-25","2018-09"
"138","Dem","Female","25 - 34","Hispanic","No Bachelors","S3","Married","Democratic candidate","CA","CA-25","2018-09"
"139","Rep","Male","35 - 44","White","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-25","2018-09"
"140","Ind","Female","18 - 24","Other","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
